row,value,column
7875928,3.0257463859e-05,1.0
5656645,2.76777473901e-05,1.0
6731083,2.72599182242e-05,1.0
4987706,2.59812289676e-05,1.0
2341545,2.5790343869e-05,1.0
655551,2.47377229093e-05,1.0
3774820,2.00395028091e-05,1.0
1720700,1.85414085236e-05,1.0
8435940,1.74529875147e-05,1.0
9643236,1.74312589263e-05,1.0
